P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K
101284561.82,1105.13,24115765.08,2.87,833.19,89.26,0.79,1003.46,294.21
101284561.82,1105.13,24115765.08,2.87,833.19,89.26,0.6,1011.68,285.79
101284561.82,1105.13,24115765.08,2.87,833.19,89.26,0.92,996.14,304.93
101284561.82,1105.13,24115765.08,2.87,833.19,89.26,1.02,1008.2,272.69
101284561.82,1105.13,24115765.08,2.87,833.19,89.26,0.66,1008.59,303.31
101284561.82,1105.13,24115765.08,2.87,833.19,89.26,0.73,1014.92,315.85
101284561.82,1105.13,24115765.08,2.87,833.19,89.26,0.88,999.33,266.18
55551069.35,1194.64,24294196.97,2.94,833.91,34.73,0.52,1149.87,287.32
55551069.35,1194.64,24294196.97,2.94,833.91,34.73,0.61,1142.64,311.02
55551069.35,1194.64,24294196.97,2.94,833.91,34.73,0.81,1157.66,299.48
55551069.35,1194.64,24294196.97,2.94,833.91,34.73,0.94,1146.0,311.52
55551069.35,1194.64,24294196.97,2.94,833.91,34.73,0.98,1153.51,273.33
55551069.35,1194.64,24294196.97,2.94,833.91,34.73,0.85,1141.29,291.27
55551069.35,1194.64,24294196.97,2.94,833.91,34.73,0.66,1155.67,264.78
55551069.35,1194.64,24294196.97,2.94,833.91,34.73,0.76,1151.84,282.5
145422278.95,1261.0,24972790.17,2.94,834.76,45.17,0.58,1214.18,279.32
145422278.95,1261.0,24972790.17,2.94,834.76,45.17,0.77,1204.49,272.95
145422278.95,1261.0,24972790.17,2.94,834.76,45.17,0.67,1196.96,317.06
145422278.95,1261.0,24972790.17,2.94,834.76,45.17,1.05,1212.03,300.96
145422278.95,1261.0,24972790.17,2.94,834.76,45.17,0.88,1206.76,291.16
145422278.95,1261.0,24972790.17,2.94,834.76,45.17,0.5,1210.38,311.13
145422278.95,1261.0,24972790.17,2.94,834.76,45.17,0.8,1202.62,289.98
145422278.95,1261.0,24972790.17,2.94,834.76,45.17,0.95,1199.97,263.75
78103078.39,1155.69,24712573.11,2.78,835.38,24.44,0.79,1128.42,279.35
78103078.39,1155.69,24712573.11,2.78,835.38,24.44,0.93,1122.1,298.69
78103078.39,1155.69,24712573.11,2.78,835.38,24.44,0.69,1129.43,308.96
78103078.39,1155.69,24712573.11,2.78,835.38,24.44,0.87,1120.0,276.46
78103078.39,1155.69,24712573.11,2.78,835.38,24.44,0.72,1115.34,294.82
78103078.39,1155.69,24712573.11,2.78,835.38,24.44,0.6,1112.86,312.43
78103078.39,1155.69,24712573.11,2.78,835.38,24.44,0.54,1116.81,290.06
78103078.39,1155.69,24712573.11,2.78,835.38,24.44,1.0,1126.07,268.23
21628160.67,1146.42,24924112.84,2.76,840.27,46.29,1.03,1091.54,303.31
21628160.67,1146.42,24924112.84,2.76,840.27,46.29,0.69,1086.79,283.41
21628160.67,1146.42,24924112.84,2.76,840.27,46.29,0.76,1096.71,266.86
21628160.67,1146.42,24924112.84,2.76,840.27,46.29,0.54,1083.26,315.87
21628160.67,1146.42,24924112.84,2.76,840.27,46.29,0.93,1082.57,290.47
21628160.67,1146.42,24924112.84,2.76,840.27,46.29,0.57,1092.93,270.16
21628160.67,1146.42,24924112.84,2.76,840.27,46.29,0.84,1089.72,297.45
21628160.67,1146.42,24924112.84,2.76,840.27,46.29,0.85,1098.92,307.68
146433818.37,1105.82,24813193.72,2.8,849.61,47.39,0.93,1040.42,279.02
146433818.37,1105.82,24813193.72,2.8,849.61,47.39,0.73,1049.88,270.4
146433818.37,1105.82,24813193.72,2.8,849.61,47.39,0.51,1055.54,305.1
146433818.37,1105.82,24813193.72,2.8,849.61,47.39,0.7,1043.49,263.29
146433818.37,1105.82,24813193.72,2.8,849.61,47.39,0.91,1058.33,294.22
146433818.37,1105.82,24813193.72,2.8,849.61,47.39,0.61,1041.71,315.49
146433818.37,1105.82,24813193.72,2.8,849.61,47.39,1.0,1047.02,286.85
146433818.37,1105.82,24813193.72,2.8,849.61,47.39,0.78,1053.26,299.01
79004133.07,1140.88,24058017.24,2.91,832.92,21.82,0.66,1110.64,284.27
79004133.07,1140.88,24058017.24,2.91,832.92,21.82,0.61,1112.0,308.92
79004133.07,1140.88,24058017.24,2.91,832.92,21.82,1.02,1107.98,314.26
79004133.07,1140.88,24058017.24,2.91,832.92,21.82,0.55,1115.44,267.04
79004133.07,1140.88,24058017.24,2.91,832.92,21.82,0.87,1105.89,270.79
79004133.07,1140.88,24058017.24,2.91,832.92,21.82,0.79,1118.61,278.38
79004133.07,1140.88,24058017.24,2.91,832.92,21.82,0.95,1103.95,291.45
79004133.07,1140.88,24058017.24,2.91,832.92,21.82,0.75,1100.92,299.2
73994916.0,1169.73,24831521.47,2.87,830.66,29.98,0.8,1131.84,263.22
73994916.0,1169.73,24831521.47,2.87,830.66,29.98,0.95,1125.73,297.07
73994916.0,1169.73,24831521.47,2.87,830.66,29.98,0.6,1132.75,311.38
73994916.0,1169.73,24831521.47,2.87,830.66,29.98,0.87,1135.34,304.44
73994916.0,1169.73,24831521.47,2.87,830.66,29.98,0.68,1121.4,280.9
73994916.0,1169.73,24831521.47,2.87,830.66,29.98,1.04,1139.74,273.15
73994916.0,1169.73,24831521.47,2.87,830.66,29.98,0.5,1122.35,284.25
73994916.0,1169.73,24831521.47,2.87,830.66,29.98,0.72,1129.11,300.39
60121940.06,1100.93,24429785.86,2.81,831.64,51.77,0.81,1046.16,282.16
60121940.06,1100.93,24429785.86,2.81,831.64,51.77,0.71,1032.47,266.45
60121940.06,1100.93,24429785.86,2.81,831.64,51.77,1.04,1038.46,276.9
60121940.06,1100.93,24429785.86,2.81,831.64,51.77,0.52,1029.18,301.69
60121940.06,1100.93,24429785.86,2.81,831.64,51.77,0.88,1048.8,317.11
60121940.06,1100.93,24429785.86,2.81,831.64,51.77,0.94,1041.3,287.07
60121940.06,1100.93,24429785.86,2.81,831.64,51.77,0.64,1043.76,297.05
60121940.06,1100.93,24429785.86,2.81,831.64,51.77,0.58,1035.67,309.68
147990990.57,1139.26,24458158.22,2.82,801.93,89.14,0.56,1045.36,273.77
147990990.57,1139.26,24458158.22,2.82,801.93,89.14,0.88,1041.68,263.3
147990990.57,1139.26,24458158.22,2.82,801.93,89.14,1.03,1043.55,289.53
147990990.57,1139.26,24458158.22,2.82,801.93,89.14,0.65,1038.09,300.76
147990990.57,1139.26,24458158.22,2.82,801.93,89.14,0.57,1034.19,283.09
147990990.57,1139.26,24458158.22,2.82,801.93,89.14,0.93,1035.61,315.39
147990990.57,1139.26,24458158.22,2.82,801.93,89.14,0.83,1048.28,310.11
147990990.57,1139.26,24458158.22,2.82,801.93,89.14,0.76,1032.11,297.1
129487054.97,1175.24,24843394.2,2.77,799.75,28.51,0.64,1129.81,310.76
129487054.97,1175.24,24843394.2,2.77,799.75,28.51,0.94,1132.87,300.61
129487054.97,1175.24,24843394.2,2.77,799.75,28.51,1.01,1141.94,284.67
129487054.97,1175.24,24843394.2,2.77,799.75,28.51,0.51,1134.87,281.46
129487054.97,1175.24,24843394.2,2.77,799.75,28.51,0.88,1137.15,268.51
129487054.97,1175.24,24843394.2,2.77,799.75,28.51,0.61,1129.1,275.9
129487054.97,1175.24,24843394.2,2.77,799.75,28.51,0.82,1146.32,294.35
129487054.97,1175.24,24843394.2,2.77,799.75,28.51,0.77,1140.46,311.9
108774103.4,1225.37,24591655.78,2.93,819.6,48.22,0.94,1161.35,271.94
108774103.4,1225.37,24591655.78,2.93,819.6,48.22,0.8,1169.19,280.51
108774103.4,1225.37,24591655.78,2.93,819.6,48.22,0.67,1163.5,316.28
108774103.4,1225.37,24591655.78,2.93,819.6,48.22,0.58,1157.38,289.1
108774103.4,1225.37,24591655.78,2.93,819.6,48.22,0.57,1175.37,298.79
108774103.4,1225.37,24591655.78,2.93,819.6,48.22,0.86,1172.73,296.88
108774103.4,1225.37,24591655.78,2.93,819.6,48.22,1.04,1169.67,311.03
108774103.4,1225.37,24591655.78,2.93,819.6,48.22,0.74,1165.13,266.15
79832771.33,1172.98,24223265.37,2.93,839.1,28.11,0.66,1135.63,307.52
79832771.33,1172.98,24223265.37,2.93,839.1,28.11,0.55,1140.65,300.59
79832771.33,1172.98,24223265.37,2.93,839.1,28.11,0.9,1128.25,288.91
79832771.33,1172.98,24223265.37,2.93,839.1,28.11,0.71,1144.23,275.19
79832771.33,1172.98,24223265.37,2.93,839.1,28.11,0.58,1132.33,294.56
79832771.33,1172.98,24223265.37,2.93,839.1,28.11,1.01,1125.54,312.32
79832771.33,1172.98,24223265.37,2.93,839.1,28.11,0.96,1139.38,263.77
79832771.33,1172.98,24223265.37,2.93,839.1,28.11,0.79,1132.56,277.1
136373930.97,1211.8,24826641.78,2.74,849.08,99.46,0.93,1104.03,275.23
136373930.97,1211.8,24826641.78,2.74,849.08,99.46,0.89,1108.81,268.44
136373930.97,1211.8,24826641.78,2.74,849.08,99.46,0.79,1112.01,285.06
136373930.97,1211.8,24826641.78,2.74,849.08,99.46,0.61,1106.7,306.22
136373930.97,1211.8,24826641.78,2.74,849.08,99.46,0.73,1093.64,292.93
136373930.97,1211.8,24826641.78,2.74,849.08,99.46,1.04,1098.7,315.43
136373930.97,1211.8,24826641.78,2.74,849.08,99.46,0.65,1096.8,303.87
136373930.97,1211.8,24826641.78,2.74,849.08,99.46,0.54,1100.65,280.9
65600843.18,1117.36,24841674.04,2.74,815.96,93.29,0.55,1016.08,305.13
65600843.18,1117.36,24841674.04,2.74,815.96,93.29,0.8,1019.95,290.74
65600843.18,1117.36,24841674.04,2.74,815.96,93.29,1.0,1017.64,284.17
65600843.18,1117.36,24841674.04,2.74,815.96,93.29,0.85,1009.88,263.78
65600843.18,1117.36,24841674.04,2.74,815.96,93.29,0.97,1013.01,270.65
65600843.18,1117.36,24841674.04,2.74,815.96,93.29,0.65,1023.88,299.1
65600843.18,1117.36,24841674.04,2.74,815.96,93.29,0.57,1008.01,278.53
65600843.18,1117.36,24841674.04,2.74,815.96,93.29,0.76,1005.15,316.23
48789874.03,1267.93,24129841.3,2.88,832.67,87.73,0.66,1163.62,264.99
48789874.03,1267.93,24129841.3,2.88,832.67,87.73,0.6,1178.36,306.2
48789874.03,1267.93,24129841.3,2.88,832.67,87.73,0.81,1177.0,299.68
48789874.03,1267.93,24129841.3,2.88,832.67,87.73,0.95,1174.5,282.82
48789874.03,1267.93,24129841.3,2.88,832.67,87.73,0.74,1170.09,284.31
48789874.03,1267.93,24129841.3,2.88,832.67,87.73,1.05,1171.92,314.14
48789874.03,1267.93,24129841.3,2.88,832.67,87.73,0.52,1166.45,294.35
48789874.03,1267.93,24129841.3,2.88,832.67,87.73,0.91,1162.08,274.08
140401316.65,1235.99,24022658.67,2.97,809.99,62.62,0.66,1167.19,285.84
140401316.65,1235.99,24022658.67,2.97,809.99,62.62,0.87,1172.24,279.49
140401316.65,1235.99,24022658.67,2.97,809.99,62.62,0.58,1163.87,301.66
140401316.65,1235.99,24022658.67,2.97,809.99,62.62,0.94,1161.47,309.52
140401316.65,1235.99,24022658.67,2.97,809.99,62.62,0.77,1154.92,267.37
140401316.65,1235.99,24022658.67,2.97,809.99,62.62,1.02,1169.6,312.67
140401316.65,1235.99,24022658.67,2.97,809.99,62.62,0.52,1158.74,273.82
140401316.65,1235.99,24022658.67,2.97,809.99,62.62,0.82,1156.59,296.32
129190328.45,1205.72,24170202.73,2.92,848.93,22.38,0.51,1179.66,314.06
129190328.45,1205.72,24170202.73,2.92,848.93,22.38,0.87,1172.04,307.34
129190328.45,1205.72,24170202.73,2.92,848.93,22.38,0.75,1182.89,296.71
129190328.45,1205.72,24170202.73,2.92,848.93,22.38,0.81,1168.01,266.68
129190328.45,1205.72,24170202.73,2.92,848.93,22.38,0.66,1169.87,283.26
129190328.45,1205.72,24170202.73,2.92,848.93,22.38,0.63,1163.62,290.18
129190328.45,1205.72,24170202.73,2.92,848.93,22.38,0.95,1177.31,271.58
129190328.45,1205.72,24170202.73,2.92,848.93,22.38,1.02,1174.18,299.97
85329594.78,1039.16,24613462.93,2.94,814.17,38.48,0.68,982.73,263.89
85329594.78,1039.16,24613462.93,2.94,814.17,38.48,0.54,993.39,307.08
85329594.78,1039.16,24613462.93,2.94,814.17,38.48,0.81,985.53,299.31
85329594.78,1039.16,24613462.93,2.94,814.17,38.48,1.03,996.96,271.04
85329594.78,1039.16,24613462.93,2.94,814.17,38.48,0.89,998.72,312.04
85329594.78,1039.16,24613462.93,2.94,814.17,38.48,0.94,992.94,295.8
85329594.78,1039.16,24613462.93,2.94,814.17,38.48,0.6,990.09,279.38
85329594.78,1039.16,24613462.93,2.94,814.17,38.48,0.75,987.25,283.86
85951687.12,1158.8,24063068.44,2.9,831.49,58.93,0.96,1095.44,308.85
85951687.12,1158.8,24063068.44,2.9,831.49,58.93,0.88,1098.84,267.71
85951687.12,1158.8,24063068.44,2.9,831.49,58.93,1.03,1080.98,302.34
85951687.12,1158.8,24063068.44,2.9,831.49,58.93,0.77,1085.32,317.57
85951687.12,1158.8,24063068.44,2.9,831.49,58.93,0.58,1088.0,280.5
85951687.12,1158.8,24063068.44,2.9,831.49,58.93,0.51,1094.66,273.73
85951687.12,1158.8,24063068.44,2.9,831.49,58.93,0.83,1090.87,285.44
85951687.12,1158.8,24063068.44,2.9,831.49,58.93,0.67,1084.42,292.37
77742678.05,1041.47,24420878.6,2.98,824.31,31.89,0.7,1006.45,299.95
77742678.05,1041.47,24420878.6,2.98,824.31,31.89,0.76,1000.5,287.54
77742678.05,1041.47,24420878.6,2.98,824.31,31.89,0.91,1008.44,292.73
77742678.05,1041.47,24420878.6,2.98,824.31,31.89,0.6,996.27,312.06
77742678.05,1041.47,24420878.6,2.98,824.31,31.89,0.83,994.02,305.09
77742678.05,1041.47,24420878.6,2.98,824.31,31.89,1.0,1002.19,283.4
77742678.05,1041.47,24420878.6,2.98,824.31,31.89,0.96,998.33,266.82
77742678.05,1041.47,24420878.6,2.98,824.31,31.89,0.54,990.88,271.19
105519047.14,1027.4,24002069.55,2.75,842.08,61.14,0.93,960.79,293.53
105519047.14,1027.4,24002069.55,2.75,842.08,61.14,0.7,952.71,283.57
105519047.14,1027.4,24002069.55,2.75,842.08,61.14,0.88,963.3,316.58
105519047.14,1027.4,24002069.55,2.75,842.08,61.14,0.77,964.51,290.12
105519047.14,1027.4,24002069.55,2.75,842.08,61.14,0.58,946.33,301.5
105519047.14,1027.4,24002069.55,2.75,842.08,61.14,0.52,956.9,306.0
105519047.14,1027.4,24002069.55,2.75,842.08,61.14,0.82,955.79,267.12
105519047.14,1027.4,24002069.55,2.75,842.08,61.14,1.05,950.69,270.99
95290047.97,1023.52,24181185.61,2.87,837.47,37.18,0.91,979.36,296.79
95290047.97,1023.52,24181185.61,2.87,837.47,37.18,0.7,984.49,317.82
95290047.97,1023.52,24181185.61,2.87,837.47,37.18,0.95,967.29,288.99
95290047.97,1023.52,24181185.61,2.87,837.47,37.18,0.75,982.03,268.58
95290047.97,1023.52,24181185.61,2.87,837.47,37.18,0.52,970.95,298.05
95290047.97,1023.52,24181185.61,2.87,837.47,37.18,1.03,974.04,306.83
95290047.97,1023.52,24181185.61,2.87,837.47,37.18,0.81,973.42,272.2
95290047.97,1023.52,24181185.61,2.87,837.47,37.18,0.61,976.64,280.73
85575221.08,1053.33,24148245.25,2.9,842.28,70.41,0.84,979.73,272.86
85575221.08,1053.33,24148245.25,2.9,842.28,70.41,1.03,974.36,309.38
85575221.08,1053.33,24148245.25,2.9,842.28,70.41,0.66,972.63,316.15
85575221.08,1053.33,24148245.25,2.9,842.28,70.41,0.58,963.28,263.74
85575221.08,1053.33,24148245.25,2.9,842.28,70.41,0.71,965.61,301.44
85575221.08,1053.33,24148245.25,2.9,842.28,70.41,0.92,981.65,296.23
85575221.08,1053.33,24148245.25,2.9,842.28,70.41,0.86,968.09,280.11
85575221.08,1053.33,24148245.25,2.9,842.28,70.41,0.51,976.61,288.58
23698123.03,1046.12,24666792.32,2.86,820.53,47.08,1.04,996.9,314.33
23698123.03,1046.12,24666792.32,2.86,820.53,47.08,0.86,990.28,295.03
23698123.03,1046.12,24666792.32,2.86,820.53,47.08,0.69,994.37,277.95
23698123.03,1046.12,24666792.32,2.86,820.53,47.08,0.5,986.37,286.95
23698123.03,1046.12,24666792.32,2.86,820.53,47.08,0.57,991.9,303.86
23698123.03,1046.12,24666792.32,2.86,820.53,47.08,0.96,989.03,265.57
23698123.03,1046.12,24666792.32,2.86,820.53,47.08,0.8,983.66,271.0
23698123.03,1046.12,24666792.32,2.86,820.53,47.08,0.71,981.33,309.79
34567478.57,1222.45,24342206.02,2.97,830.31,34.62,0.72,1180.94,303.75
34567478.57,1222.45,24342206.02,2.97,830.31,34.62,0.97,1176.16,296.19
34567478.57,1222.45,24342206.02,2.97,830.31,34.62,1.04,1185.65,264.2
34567478.57,1222.45,24342206.02,2.97,830.31,34.62,0.55,1173.02,287.09
34567478.57,1222.45,24342206.02,2.97,830.31,34.62,0.8,1178.12,278.57
34567478.57,1222.45,24342206.02,2.97,830.31,34.62,0.6,1183.2,274.63
34567478.57,1222.45,24342206.02,2.97,830.31,34.62,0.68,1171.5,311.41
34567478.57,1222.45,24342206.02,2.97,830.31,34.62,0.87,1169.43,304.87
113581083.42,1234.63,24679771.8,2.98,846.31,83.06,0.92,1138.15,264.54
113581083.42,1234.63,24679771.8,2.98,846.31,83.06,0.85,1132.71,280.81
113581083.42,1234.63,24679771.8,2.98,846.31,83.06,1.04,1143.2,291.85
113581083.42,1234.63,24679771.8,2.98,846.31,83.06,0.66,1140.39,287.12
113581083.42,1234.63,24679771.8,2.98,846.31,83.06,0.83,1145.38,273.09
113581083.42,1234.63,24679771.8,2.98,846.31,83.06,0.6,1134.26,305.43
113581083.42,1234.63,24679771.8,2.98,846.31,83.06,0.55,1148.06,298.55
113581083.42,1234.63,24679771.8,2.98,846.31,83.06,0.72,1150.94,317.02
54901455.16,1218.69,24032844.9,2.74,810.72,37.07,0.57,1176.68,301.65
54901455.16,1218.69,24032844.9,2.74,810.72,37.07,0.94,1168.39,312.04
54901455.16,1218.69,24032844.9,2.74,810.72,37.07,0.68,1174.58,266.71
54901455.16,1218.69,24032844.9,2.74,810.72,37.07,1.03,1166.2,279.31
54901455.16,1218.69,24032844.9,2.74,810.72,37.07,0.79,1180.47,274.87
54901455.16,1218.69,24032844.9,2.74,810.72,37.07,0.56,1163.87,305.97
54901455.16,1218.69,24032844.9,2.74,810.72,37.07,0.85,1173.54,297.28
54901455.16,1218.69,24032844.9,2.74,810.72,37.07,0.73,1170.45,284.37
47244376.19,1063.76,24640018.27,2.95,801.82,23.13,0.76,1037.94,281.09
47244376.19,1063.76,24640018.27,2.95,801.82,23.13,0.96,1026.26,272.74
47244376.19,1063.76,24640018.27,2.95,801.82,23.13,0.78,1021.29,283.85
47244376.19,1063.76,24640018.27,2.95,801.82,23.13,0.51,1038.58,268.57
47244376.19,1063.76,24640018.27,2.95,801.82,23.13,1.05,1035.09,310.66
47244376.19,1063.76,24640018.27,2.95,801.82,23.13,0.91,1028.18,299.92
47244376.19,1063.76,24640018.27,2.95,801.82,23.13,0.57,1031.05,317.15
47244376.19,1063.76,24640018.27,2.95,801.82,23.13,0.69,1025.58,295.98
87335382.45,1262.84,24103979.55,2.81,809.31,69.44,0.88,1178.33,280.68
87335382.45,1262.84,24103979.55,2.81,809.31,69.44,0.78,1183.81,317.45
87335382.45,1262.84,24103979.55,2.81,809.31,69.44,0.75,1175.89,293.45
87335382.45,1262.84,24103979.55,2.81,809.31,69.44,0.65,1181.89,283.81
87335382.45,1262.84,24103979.55,2.81,809.31,69.44,0.51,1178.55,272.38
87335382.45,1262.84,24103979.55,2.81,809.31,69.44,1.0,1189.25,308.64
87335382.45,1262.84,24103979.55,2.81,809.31,69.44,0.92,1186.19,268.06
87335382.45,1262.84,24103979.55,2.81,809.31,69.44,0.59,1191.37,303.87
124700021.7,1105.25,24243225.2,2.88,818.32,45.28,0.69,1057.66,311.04
124700021.7,1105.25,24243225.2,2.88,818.32,45.28,0.6,1046.63,291.66
124700021.7,1105.25,24243225.2,2.88,818.32,45.28,0.88,1040.41,265.15
124700021.7,1105.25,24243225.2,2.88,818.32,45.28,0.94,1042.69,284.49
124700021.7,1105.25,24243225.2,2.88,818.32,45.28,1.05,1051.43,282.29
124700021.7,1105.25,24243225.2,2.88,818.32,45.28,0.76,1048.97,316.18
124700021.7,1105.25,24243225.2,2.88,818.32,45.28,0.5,1057.24,270.67
124700021.7,1105.25,24243225.2,2.88,818.32,45.28,0.82,1054.51,297.89
11677021.84,1162.59,24045248.97,2.87,823.07,66.09,0.82,1090.45,294.78
11677021.84,1162.59,24045248.97,2.87,823.07,66.09,0.62,1085.84,288.12
11677021.84,1162.59,24045248.97,2.87,823.07,66.09,0.73,1081.67,275.9
11677021.84,1162.59,24045248.97,2.87,823.07,66.09,0.9,1081.01,298.08
11677021.84,1162.59,24045248.97,2.87,823.07,66.09,0.69,1086.93,316.9
11677021.84,1162.59,24045248.97,2.87,823.07,66.09,1.01,1094.79,277.73
11677021.84,1162.59,24045248.97,2.87,823.07,66.09,0.93,1093.88,304.6
11677021.84,1162.59,24045248.97,2.87,823.07,66.09,0.54,1076.55,266.1
56094416.2,1272.66,24139903.01,2.76,811.1,42.6,0.82,1210.45,315.78
56094416.2,1272.66,24139903.01,2.76,811.1,42.6,0.74,1216.91,293.45
56094416.2,1272.66,24139903.01,2.76,811.1,42.6,0.5,1213.26,301.83
56094416.2,1272.66,24139903.01,2.76,811.1,42.6,0.88,1221.2,279.07
56094416.2,1272.66,24139903.01,2.76,811.1,42.6,0.97,1228.79,290.19
56094416.2,1272.66,24139903.01,2.76,811.1,42.6,0.7,1218.31,275.82
56094416.2,1272.66,24139903.01,2.76,811.1,42.6,0.6,1222.74,269.15
56094416.2,1272.66,24139903.01,2.76,811.1,42.6,1.0,1226.48,308.72
129807449.55,1096.1,24900357.49,2.85,841.1,69.01,0.93,1018.08,268.02
129807449.55,1096.1,24900357.49,2.85,841.1,69.01,1.04,1009.21,315.97
129807449.55,1096.1,24900357.49,2.85,841.1,69.01,0.91,1010.69,289.14
129807449.55,1096.1,24900357.49,2.85,841.1,69.01,0.65,1020.11,272.19
129807449.55,1096.1,24900357.49,2.85,841.1,69.01,0.78,1027.02,304.09
129807449.55,1096.1,24900357.49,2.85,841.1,69.01,0.76,1014.15,279.77
129807449.55,1096.1,24900357.49,2.85,841.1,69.01,0.5,1015.86,305.3
129807449.55,1096.1,24900357.49,2.85,841.1,69.01,0.6,1023.35,291.0
133376354.43,1090.09,24383645.49,2.99,834.32,92.44,0.8,990.18,284.2
133376354.43,1090.09,24383645.49,2.99,834.32,92.44,0.86,982.13,273.14
133376354.43,1090.09,24383645.49,2.99,834.32,92.44,0.96,979.5,311.84
133376354.43,1090.09,24383645.49,2.99,834.32,92.44,0.53,988.43,294.02
133376354.43,1090.09,24383645.49,2.99,834.32,92.44,0.68,997.41,282.21
133376354.43,1090.09,24383645.49,2.99,834.32,92.44,0.77,985.86,309.71
133376354.43,1090.09,24383645.49,2.99,834.32,92.44,1.03,983.94,301.73
133376354.43,1090.09,24383645.49,2.99,834.32,92.44,0.59,993.54,263.31
129288672.86,1202.85,24891074.39,2.93,825.59,64.34,0.83,1125.95,312.74
129288672.86,1202.85,24891074.39,2.93,825.59,64.34,0.98,1121.86,294.82
129288672.86,1202.85,24891074.39,2.93,825.59,64.34,0.52,1137.16,271.16
129288672.86,1202.85,24891074.39,2.93,825.59,64.34,0.88,1134.06,276.93
129288672.86,1202.85,24891074.39,2.93,825.59,64.34,0.77,1132.74,307.08
129288672.86,1202.85,24891074.39,2.93,825.59,64.34,0.69,1119.02,300.62
129288672.86,1202.85,24891074.39,2.93,825.59,64.34,0.6,1129.79,288.36
129288672.86,1202.85,24891074.39,2.93,825.59,64.34,0.94,1128.16,263.28
27527978.87,1066.19,24995002.05,2.9,817.53,79.5,0.82,976.54,270.84
27527978.87,1066.19,24995002.05,2.9,817.53,79.5,0.98,974.1,265.51
27527978.87,1066.19,24995002.05,2.9,817.53,79.5,0.51,981.99,305.05
27527978.87,1066.19,24995002.05,2.9,817.53,79.5,0.68,977.15,316.55
27527978.87,1066.19,24995002.05,2.9,817.53,79.5,0.73,966.88,290.54
27527978.87,1066.19,24995002.05,2.9,817.53,79.5,0.9,986.08,281.79
27527978.87,1066.19,24995002.05,2.9,817.53,79.5,0.93,980.64,304.08
27527978.87,1066.19,24995002.05,2.9,817.53,79.5,0.58,971.29,292.6
113283241.73,1111.27,24294841.38,2.92,844.51,88.15,0.8,1008.03,268.95
113283241.73,1111.27,24294841.38,2.92,844.51,88.15,0.95,1009.75,289.54
113283241.73,1111.27,24294841.38,2.92,844.51,88.15,0.5,1018.27,296.84
113283241.73,1111.27,24294841.38,2.92,844.51,88.15,0.69,1017.13,277.42
113283241.73,1111.27,24294841.38,2.92,844.51,88.15,0.63,1020.75,309.53
113283241.73,1111.27,24294841.38,2.92,844.51,88.15,0.74,1012.07,302.98
113283241.73,1111.27,24294841.38,2.92,844.51,88.15,0.89,1003.82,272.96
113283241.73,1111.27,24294841.38,2.92,844.51,88.15,1.04,1014.08,315.29
67434934.41,1217.12,24336753.98,2.78,829.99,54.23,0.72,1155.67,263.33
67434934.41,1217.12,24336753.98,2.78,829.99,54.23,0.6,1162.62,277.73
67434934.41,1217.12,24336753.98,2.78,829.99,54.23,0.51,1148.0,316.93
67434934.41,1217.12,24336753.98,2.78,829.99,54.23,0.86,1144.2,284.22
67434934.41,1217.12,24336753.98,2.78,829.99,54.23,0.8,1146.42,306.53
67434934.41,1217.12,24336753.98,2.78,829.99,54.23,0.93,1154.81,273.77
67434934.41,1217.12,24336753.98,2.78,829.99,54.23,1.01,1160.3,297.45
67434934.41,1217.12,24336753.98,2.78,829.99,54.23,0.67,1151.65,302.32
29369088.68,1209.47,24327579.89,2.83,813.17,33.38,0.61,1159.54,302.38
29369088.68,1209.47,24327579.89,2.83,813.17,33.38,0.73,1163.18,271.91
29369088.68,1209.47,24327579.89,2.83,813.17,33.38,0.98,1156.31,264.81
29369088.68,1209.47,24327579.89,2.83,813.17,33.38,0.79,1172.34,279.21
29369088.68,1209.47,24327579.89,2.83,813.17,33.38,0.64,1169.5,317.34
29369088.68,1209.47,24327579.89,2.83,813.17,33.38,1.05,1175.31,292.66
29369088.68,1209.47,24327579.89,2.83,813.17,33.38,0.9,1167.26,306.13
29369088.68,1209.47,24327579.89,2.83,813.17,33.38,0.53,1163.98,286.24
92281520.81,1255.92,24888996.68,2.88,829.17,46.5,0.73,1192.75,263.9
92281520.81,1255.92,24888996.68,2.88,829.17,46.5,0.98,1204.7,292.89
92281520.81,1255.92,24888996.68,2.88,829.17,46.5,0.55,1207.89,275.53
92281520.81,1255.92,24888996.68,2.88,829.17,46.5,0.78,1191.78,304.13
92281520.81,1255.92,24888996.68,2.88,829.17,46.5,0.67,1196.78,316.71
92281520.81,1255.92,24888996.68,2.88,829.17,46.5,0.87,1202.31,310.67
92281520.81,1255.92,24888996.68,2.88,829.17,46.5,1.01,1196.95,287.63
92281520.81,1255.92,24888996.68,2.88,829.17,46.5,0.58,1201.02,279.84
130017755.04,1146.64,24875637.22,2.79,844.31,89.97,0.8,1043.71,300.46
130017755.04,1146.64,24875637.22,2.79,844.31,89.97,0.93,1040.96,315.98
130017755.04,1146.64,24875637.22,2.79,844.31,89.97,0.7,1054.3,278.7
130017755.04,1146.64,24875637.22,2.79,844.31,89.97,0.61,1049.82,271.76
130017755.04,1146.64,24875637.22,2.79,844.31,89.97,0.55,1037.57,291.88
130017755.04,1146.64,24875637.22,2.79,844.31,89.97,0.99,1048.03,284.7
