T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K
1099.04,24583092.88,3.48,265.6,180.84,1.04,1079.65,298.43
1099.04,24583092.88,3.48,265.6,180.84,0.76,1095.2,302.1
1126.21,24053423.3,3.6,313.46,48.75,0.79,1107.7,311.82
1126.21,24053423.3,3.6,313.46,48.75,0.57,1124.7,276.39
1126.21,24053423.3,3.6,313.46,48.75,0.62,1109.8,297.33
1126.21,24053423.3,3.6,313.46,48.75,0.94,1115.89,308.38
1126.21,24053423.3,3.6,313.46,48.75,0.97,1122.64,268.66
1126.21,24053423.3,3.6,313.46,48.75,0.71,1117.26,286.55
1119.85,24537354.52,3.44,333.15,104.76,0.82,1118.87,278.41
1119.85,24537354.52,3.44,333.15,104.76,0.99,1100.81,297.12
1119.85,24537354.52,3.44,333.15,104.76,0.55,1109.19,301.68
1119.85,24537354.52,3.44,333.15,104.76,0.92,1111.39,311.82
1119.85,24537354.52,3.44,333.15,104.76,0.67,1114.05,267.37
1119.85,24537354.52,3.44,333.15,104.76,0.77,1104.75,282.8
1331.45,24791372.07,3.23,323.9,220.79,0.98,1324.16,313.08
1331.45,24791372.07,3.23,323.9,220.79,0.84,1326.69,263.38
1331.45,24791372.07,3.23,323.9,220.79,0.67,1316.38,304.82
1331.45,24791372.07,3.23,323.9,220.79,0.57,1321.43,279.31
1331.45,24791372.07,3.23,323.9,220.79,0.93,1312.49,294.69
1331.45,24791372.07,3.23,323.9,220.79,0.74,1328.84,289.28
1259.56,24175410.45,2.96,316.56,84.31,0.78,1239.8,283.32
1259.56,24175410.45,2.96,316.56,84.31,0.93,1243.62,305.14
1259.56,24175410.45,2.96,316.56,84.31,0.66,1255.54,316.89
1259.56,24175410.45,2.96,316.56,84.31,1.02,1247.24,297.47
1259.56,24175410.45,2.96,316.56,84.31,0.54,1250.63,273.32
1259.56,24175410.45,2.96,316.56,84.31,0.73,1257.41,264.37
1185.34,24560889.29,3.28,312.32,95.52,0.54,1170.64,270.0
1185.34,24560889.29,3.28,312.32,95.52,0.94,1173.21,276.69
1185.34,24560889.29,3.28,312.32,95.52,0.8,1184.18,291.6
1185.34,24560889.29,3.28,312.32,95.52,0.77,1168.06,312.21
1185.34,24560889.29,3.28,312.32,95.52,1.02,1178.95,304.4
1185.34,24560889.29,3.28,312.32,95.52,0.62,1176.34,285.36
1311.8,24132978.09,3.92,282.69,60.18,0.74,1298.8,317.41
1311.8,24132978.09,3.92,282.69,60.18,0.89,1307.95,265.66
1311.8,24132978.09,3.92,282.69,60.18,0.64,1295.39,283.56
1311.8,24132978.09,3.92,282.69,60.18,1.02,1291.83,273.71
1311.8,24132978.09,3.92,282.69,60.18,0.85,1309.89,306.45
1311.8,24132978.09,3.92,282.69,60.18,0.57,1304.11,291.49
1447.2,24143866.84,3.25,272.38,249.98,0.63,1435.26,274.45
1447.2,24143866.84,3.25,272.38,249.98,0.69,1428.82,309.28
1447.2,24143866.84,3.25,272.38,249.98,0.5,1442.63,305.2
1447.2,24143866.84,3.25,272.38,249.98,0.99,1438.32,265.37
1447.2,24143866.84,3.25,272.38,249.98,0.96,1433.46,283.49
1447.2,24143866.84,3.25,272.38,249.98,0.79,1444.69,299.46
1159.58,24979834.76,3.54,289.8,162.21,0.64,1154.36,300.45
1159.58,24979834.76,3.54,289.8,162.21,0.84,1141.08,317.92
1159.58,24979834.76,3.54,289.8,162.21,0.87,1146.82,297.71
1159.58,24979834.76,3.54,289.8,162.21,0.98,1157.9,281.81
1159.58,24979834.76,3.54,289.8,162.21,0.58,1150.64,266.82
1159.58,24979834.76,3.54,289.8,162.21,0.77,1143.69,275.69
1460.96,24470173.94,2.75,337.41,151.08,1.02,1458.27,275.64
1460.96,24470173.94,2.75,337.41,151.08,0.71,1451.15,310.84
1460.96,24470173.94,2.75,337.41,151.08,0.53,1450.49,263.26
1460.96,24470173.94,2.75,337.41,151.08,0.88,1456.53,290.59
1460.96,24470173.94,2.75,337.41,151.08,0.64,1446.51,291.24
1460.96,24470173.94,2.75,337.41,151.08,0.78,1442.39,305.38
1436.21,24722944.47,2.78,344.79,130.72,0.84,1431.28,313.39
1436.21,24722944.47,2.78,344.79,130.72,0.97,1423.05,266.88
1436.21,24722944.47,2.78,344.79,130.72,0.9,1421.11,287.11
1436.21,24722944.47,2.78,344.79,130.72,0.61,1428.16,303.93
1436.21,24722944.47,2.78,344.79,130.72,0.54,1435.71,276.8
1436.21,24722944.47,2.78,344.79,130.72,0.73,1417.23,295.39
1149.35,24864024.6,3.58,342.73,230.9,0.95,1147.53,269.32
1149.35,24864024.6,3.58,342.73,230.9,0.6,1144.68,303.05
1149.35,24864024.6,3.58,342.73,230.9,0.54,1134.58,287.01
1149.35,24864024.6,3.58,342.73,230.9,0.85,1137.3,274.16
1149.35,24864024.6,3.58,342.73,230.9,0.99,1140.18,313.46
1149.35,24864024.6,3.58,342.73,230.9,0.76,1130.89,294.28
1401.42,24575604.62,3.14,293.91,54.81,1.04,1391.0,313.94
1401.42,24575604.62,3.14,293.91,54.81,0.65,1386.63,277.01
1401.42,24575604.62,3.14,293.91,54.81,0.71,1383.59,304.91
1401.42,24575604.62,3.14,293.91,54.81,0.91,1400.23,283.94
1401.42,24575604.62,3.14,293.91,54.81,0.55,1396.24,297.0
1401.42,24575604.62,3.14,293.91,54.81,0.84,1391.98,269.85
1370.93,24198784.72,3.33,258.26,197.4,1.03,1356.54,292.38
1370.93,24198784.72,3.33,258.26,197.4,0.82,1353.17,280.03
1370.93,24198784.72,3.33,258.26,197.4,0.52,1359.33,269.73
1370.93,24198784.72,3.33,258.26,197.4,0.64,1368.65,312.8
1370.93,24198784.72,3.33,258.26,197.4,0.9,1365.52,289.2
1370.93,24198784.72,3.33,258.26,197.4,0.73,1361.1,299.97
1431.0,24439392.26,2.93,345.98,229.68,0.64,1414.64,298.8
1431.0,24439392.26,2.93,345.98,229.68,0.89,1424.15,285.64
1431.0,24439392.26,2.93,345.98,229.68,0.56,1413.54,272.86
1431.0,24439392.26,2.93,345.98,229.68,0.73,1430.87,270.19
1431.0,24439392.26,2.93,345.98,229.68,1.05,1427.41,305.86
1431.0,24439392.26,2.93,345.98,229.68,0.78,1420.49,312.75
1157.33,24033123.83,2.77,347.47,170.72,0.99,1140.91,277.96
1157.33,24033123.83,2.77,347.47,170.72,0.82,1146.15,265.84
1157.33,24033123.83,2.77,347.47,170.72,0.59,1147.93,305.25
1157.33,24033123.83,2.77,347.47,170.72,0.76,1155.31,316.33
1157.33,24033123.83,2.77,347.47,170.72,0.88,1140.66,297.78
1157.33,24033123.83,2.77,347.47,170.72,0.67,1151.96,286.54
1044.64,24893227.21,3.18,340.59,128.85,0.65,1036.78,268.08
1044.64,24893227.21,3.18,340.59,128.85,0.98,1041.15,298.87
1044.64,24893227.21,3.18,340.59,128.85,0.93,1027.01,276.35
1044.64,24893227.21,3.18,340.59,128.85,0.8,1030.62,306.3
1044.64,24893227.21,3.18,340.59,128.85,0.59,1034.6,316.64
1044.64,24893227.21,3.18,340.59,128.85,0.76,1042.97,283.98
1118.9,24442660.22,3.88,291.94,189.15,0.67,1118.31,299.45
1118.9,24442660.22,3.88,291.94,189.15,0.98,1105.77,315.53
1118.9,24442660.22,3.88,291.94,189.15,0.72,1105.26,269.87
1118.9,24442660.22,3.88,291.94,189.15,0.84,1113.71,273.75
1118.9,24442660.22,3.88,291.94,189.15,0.91,1100.54,286.0
1118.9,24442660.22,3.88,291.94,189.15,0.58,1109.14,301.9
1431.32,24717089.24,3.01,260.68,132.09,0.68,1423.87,281.97
1431.32,24717089.24,3.01,260.68,132.09,0.51,1426.49,294.01
1431.32,24717089.24,3.01,260.68,132.09,0.88,1418.64,314.61
1431.32,24717089.24,3.01,260.68,132.09,0.72,1414.63,299.99
1431.32,24717089.24,3.01,260.68,132.09,1.03,1415.6,281.36
1431.32,24717089.24,3.01,260.68,132.09,0.82,1428.62,267.78
1179.02,24228315.54,2.98,282.14,110.27,0.95,1161.72,274.74
1179.02,24228315.54,2.98,282.14,110.27,0.97,1168.79,303.78
1179.02,24228315.54,2.98,282.14,110.27,0.53,1170.89,297.04
1179.02,24228315.54,2.98,282.14,110.27,0.83,1174.68,270.4
1179.02,24228315.54,2.98,282.14,110.27,0.7,1177.47,286.55
1179.02,24228315.54,2.98,282.14,110.27,0.65,1164.83,316.71
1189.74,24410862.47,3.25,323.25,245.99,1.02,1176.03,310.98
1189.74,24410862.47,3.25,323.25,245.99,0.81,1177.53,271.86
1189.74,24410862.47,3.25,323.25,245.99,0.92,1183.91,282.71
1189.74,24410862.47,3.25,323.25,245.99,0.75,1188.25,306.71
1189.74,24410862.47,3.25,323.25,245.99,0.53,1183.04,275.66
1189.74,24410862.47,3.25,323.25,245.99,0.67,1170.18,298.32
1417.53,24065203.46,3.02,301.34,181.22,0.77,1411.2,309.18
1417.53,24065203.46,3.02,301.34,181.22,0.95,1414.63,266.88
1417.53,24065203.46,3.02,301.34,181.22,0.84,1406.73,284.74
1417.53,24065203.46,3.02,301.34,181.22,0.67,1402.28,274.79
1417.53,24065203.46,3.02,301.34,181.22,1.01,1398.0,307.1
1417.53,24065203.46,3.02,301.34,181.22,0.57,1408.26,298.36
